id,status,growth_bet,surface,route,execution,evidence,validation
1,verified_existing,1,Orange Money guide,/fr/blog/frais-orange-money-guide-2026/,"Retain rebuilt official-source owner; current 28-day GSC signal is 54 clicks / 14247 impressions / 0.4% CTR / position 8.0 and requires post-release CTR monitoring rather than another same-day rewrite.",fr/blog/frais-orange-money-guide-2026/index.html,"blog and SEO validation"
2,verified_existing,1,French fuel family,/fr/tools/suivi-carburant/,"Retain 54-page native French rebuild and source-freshness contract; prioritize family by observed impressions without publishing new unsupported prices.",scripts/build-french-fuel-pages.js,"French fuel tests and hreflang validation"
3,verified_existing,3,Mobile-money comparison,/fr/blog/mobile-money-fees-africa-compared/,"Retain deterministic French editorial owner and official operator sources; connect from the Mobile Money authority path.",scripts/build-french-mobile-money-editorial.js,"blog and internal-link validation"
4,verified_existing,1,Wave versus Orange Senegal,/fr/blog/wave-vs-orange-money-senegal-2026/,"Retain corrected provider-fee and tax separation; monitor its 791 impressions and 1.3% CTR as a snippet opportunity.",fr/blog/wave-vs-orange-money-senegal-2026/index.html,"blog and source validation"
5,verified_existing,1,Senegal IRPP guide,/fr/blog/guide-irpp-senegal-2026/,"Retain rebuilt seven-band/source boundary and calculator handoff.",fr/blog/guide-irpp-senegal-2026/index.html,"blog and salary-tax validation"
6,executed_this_run,2,Salary Madagascar,/fr/madagascar/calculateur-salaire-net/,"Published a distinct bulletin-control guide for IRSA/CNaPS and bound DGI/CNaPS official sources without changing unverified engine rates.",fr/blog/lire-bulletin-paie-irsa-madagascar/index.html,"15-article portfolio test"
7,executed_this_run,2,Salary Burkina Faso,/fr/burkina-faso/calculateur-salaire-net,"Published a distinct IUTS bulletin-control guide and bound DGI/CNSS sources; preserved the calculator as canonical workflow.",fr/blog/controle-iuts-bulletin-paie-burkina-faso/index.html,"15-article portfolio test"
8,executed_this_run,2,Salary Mali,/fr/mali/calculateur-salaire-net,"Published a monthly ITS reconciliation guide; bound DGI ITS/CGI sources and kept the missing direct INPS source explicitly planning-grade.",fr/blog/declaration-mensuelle-its-mali-controle-paie/index.html,"15-article portfolio test"
9,executed_this_run,2,Salary Benin,/fr/benin/calculateur-salaire-net/,"Published a gross-to-net evidence-pack guide and bound the official 2026 CGI plus CNSS procedure.",fr/blog/salaire-brut-net-benin-dossier-paie/index.html,"15-article portfolio test"
10,executed_this_run,2,Salary Guinea,/fr/guinee/calculateur-salaire-net,"Published a distinct RTS/CNSS control guide and bound Ministry of Budget/DGI/CNSS sources.",fr/blog/rts-cnss-guinee-controle-salaire-net/index.html,"15-article portfolio test"
11,verified_existing,1,Teacher salary calculator,/fr/tools/salaire-enseignant/,"Retain offer/workload scope and no-invented-grid boundary.",scripts/build-teacher-salary-calculator.js,"registry and SEO validation"
12,verified_existing,2,Salary Algeria,/fr/algerie/calculateur-salaire-net,"Retain corrected local deterministic engine and official-source links; do not add another guide until qualified query evidence appears.",scripts/build-algeria-paye.js,"salary-tax and privacy validation"
13,verified_existing,1,VAT Burkina Faso,/fr/burkina-faso/calculateur-tva,"Retain corrected Article 317 rate set and evidence gate.",scripts/upgrade-burkina-vat.js,"VAT workflow validation"
14,verified_existing,1,Explicit French gap shells,/fr/tools/,"Preserve the separate shell denominator and qualified-query promotion rule; no blanket noindex. Current GSC evidence still supports selective promotion only.",reports/french-search-growth-2026-08-16.md,"localization coverage and sitemap validation"
15,verified_existing,2,RDC salary guide,/fr/blog/salaire-moyen-rdc-2026/,"Retain official SMIG checker and remove invented averages/city multipliers.",fr/blog/salaire-moyen-rdc-2026/index.html,"blog and source validation"
16,verified_existing,2,Nigeria salary guide,/fr/blog/average-salary-nigeria-2026/,"Retain official floor/statistical boundaries and reproducible offer method.",fr/blog/average-salary-nigeria-2026/index.html,"blog and source validation"
17,verified_existing,2,South Africa salary guide,/fr/blog/average-salary-south-africa-2026/,"Retain Stats SA scope and Gazette minimum boundary.",fr/blog/average-salary-south-africa-2026/index.html,"blog and source validation"
18,verified_existing,1,French fuel hub,/fr/tools/suivi-carburant/,"Retain corrected accented French proof panel and browser regression coverage.",fr/tools/suivi-carburant/index.html,"fuel browser regression"
19,verified_existing,3,Mobile Money fee finder,/fr/tools/frais-mobile-money/,"Retain native runtime states and exact two-operator catalog boundary; connect through Mobile Money authority path.",scripts/build-mobile-money-fee-finder.js,"mobile-money tests"
20,verified_existing,1,French widget sitemap contract,/fr/widgets/,"Retain 142 self-canonical French parent pages and noindex iframe exclusion.",scripts/generate-sitemap.js,"sitemap regression"
21,verified_existing,1,Legacy French salary duplicates,/blog/,"Retain one-hop redirects and sitemap removal for duplicate root articles.",_redirects,"redirect and sitemap validation"
22,verified_existing,3,French navigation graph,/fr/,"Retain deterministic safe-navigation owner; new blog hub now adds five explicit authority-category routes.",scripts/build-localized-blog-hubs.js,"localized hub and internal-link validation"
23,verified_existing,1,French sitemap freshness,/fr/,"Retain selective source-owned lastmod overrides and regenerate new source pages through the sitemap owner.",data/registry/sitemap-lastmod-overrides.json,"sitemap and anti-broad-selector validation"
