batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,tool-card,99,Africa Election Tracker,africa-election-tracker,africa-election-tracker,/tools/africa-election-tracker/,/assets/img/tools/,africa-election-tracker.webp,800x450,WebP,"Create an AfroTools web-card banner for Africa Election Tracker. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=government; tier=T2.
2,tool-card,50,Ankara / Kente Pattern Cost Calculator - Africa,ankara-kente-cost,ankara-kente-cost,/tools/ankara-kente-cost/,/assets/img/tools/,ankara-kente-cost.webp,800x450,WebP,"Create an AfroTools web-card banner for Ankara / Kente Pattern Cost Calculator - Africa. simple doodle, soft pastel fills, black outline. Show pan-African utility dashboard and map fragments. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=african; tier=T3.
3,tool-card,50,Annual Returns Filing Guide - African Companies,annual-returns,annual-returns,/tools/annual-returns/,/assets/img/tools/,annual-returns.webp,800x450,WebP,"Create an AfroTools web-card banner for Annual Returns Filing Guide - African Companies. flat paper texture illustration. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
4,tool-card,50,Art Commission Price Calculator - Africa,art-commission,art-commission,/tools/art-commission/,/assets/img/tools/,art-commission.webp,800x450,WebP,"Create an AfroTools web-card banner for Art Commission Price Calculator - Africa. watercolor wash with ink line. Show creator desk, camera, content calendar. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=creative; tier=T3.
5,tool-card,50,Asset Finance Calculator - Africa,asset-finance,asset-finance,/tools/asset-finance/,/assets/img/tools/,asset-finance.webp,800x450,WebP,"Create an AfroTools web-card banner for Asset Finance Calculator - Africa. minimal geometric objects with tactile paper grain. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
6,tool-card,50,Cross-Border B2B Payment Comparator - Africa,b2b-payment,b2b-payment,/tools/b2b-payment/,/assets/img/tools/,b2b-payment.webp,800x450,WebP,"Create an AfroTools web-card banner for Cross-Border B2B Payment Comparator - Africa. calm realistic workspace photo style. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
7,tool-card,50,Bail Calculator Africa 2026 - Bail Range Guide for 16 Countries,bail-calculator,bail-calculator,/tools/bail-calculator/,/assets/img/tools/,bail-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Bail Calculator Africa 2026 - Bail Range Guide for 16 Countries. modern dashboard abstraction. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
8,tool-card,50,"African Beach Holiday Budget Planner - Zanzibar, Seychelles, Diani",beach-holiday-budget,beach-holiday-budget,/tools/beach-holiday-budget/,/assets/img/tools/,beach-holiday-budget.webp,800x450,WebP,"Create an AfroTools web-card banner for African Beach Holiday Budget Planner - Zanzibar, Seychelles, Diani. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=travel-tourism; tier=T3.
9,tool-card,50,Bill Split Calculator - Africa,bill-split,bill-split,/tools/bill-split/,/assets/img/tools/,bill-split.webp,800x450,WebP,"Create an AfroTools web-card banner for Bill Split Calculator - Africa. simple doodle, soft pastel fills, black outline. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
10,tool-card,50,Board Resolution Template Generator - African Companies,board-resolution,board-resolution,/tools/board-resolution/,/assets/img/tools/,board-resolution.webp,800x450,WebP,"Create an AfroTools web-card banner for Board Resolution Template Generator - African Companies. soft 3D clay still life. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
