route,relPath,family,issue,evidence,fixCandidates
"/404.html","404.html","(root)","sub16_form_controls","404.html: .search-btn sets control text to 14px. | 404.html: .btn-primary sets control text to 14px. | 404.html: .btn-secondary sets control text to 14px.","404.html | shared mobile form sizing pattern"
"/404.html","404.html","(root)","tap_targets_below_44","404.html: .btn-primary is likely about 40.8px tall. | 404.html: .btn-secondary is likely about 40.8px tall.","404.html | shared 44px tap target pattern"
"/about/","about/index.html","about","sub16_form_controls","about/index.html: .btn-primary sets control text to 14.1px. | about/index.html: .btn-ghost sets control text to 14.1px.","about/index.html | shared mobile form sizing pattern"
"/about/","about/index.html","about","tap_targets_below_44","about/index.html: .btn-primary is likely about 42.9px tall. | about/index.html: .btn-ghost is likely about 42.9px tall.","about/index.html | shared 44px tap target pattern"
"/about/","about/index.html","about","late_multicolumn_collapse","about/index.html: .values-grid keeps 3 columns until 640px. | about/index.html: .categories-grid keeps 4 columns until no collapse rule. | about/index.html: .values-grid keeps 2 columns until 640px. | about/index.html: .categories-grid keeps 2 columns until no collapse rule. | about/index.html: .categories-grid keeps 2 columns until no collapse rule.","about/index.html | shared early-collapse layout pattern"
"/african/","african/index.html","african","sub16_form_controls","african/index.html: .african-hero .btn-primary sets control text to 14.4px.","african/index.html | shared mobile form sizing pattern"
"/african/","african/index.html","african","tap_targets_below_44","african/index.html: .cta-link is likely about 40.9px tall.","african/index.html | shared 44px tap target pattern"
"/african/","african/index.html","african","late_multicolumn_collapse","african/index.html: .featured-grid keeps 3 columns until 480px. | african/index.html: .featured-grid keeps 2 columns until 480px. | african/index.html: .hub-review-strip keeps 3 columns until 640px.","african/index.html | shared early-collapse layout pattern"
"/afrowork/api/","afrowork/api/index.html","afrowork","late_multicolumn_collapse","afrowork/api/index.html: .papi-plans keeps 5 columns until 500px. | afrowork/api/index.html: .papi-form-row keeps 2 columns until 500px. | afrowork/api/index.html: .papi-lookup-form keeps 2 columns until 500px. | afrowork/api/index.html: .papi-change keeps 2 columns until no collapse rule. | afrowork/api/index.html: .papi-plans keeps 2 columns until 500px.","afrowork/api/index.html | shared early-collapse layout pattern"
"/afrowork/whatsapp/","afrowork/whatsapp/index.html","afrowork","late_multicolumn_collapse","afrowork/whatsapp/index.html: .wb-hero-grid keeps 2 columns until 640px. | afrowork/whatsapp/index.html: .wb-why-grid keeps 3 columns until 640px. | afrowork/whatsapp/index.html: .wb-employers-grid keeps 2 columns until 640px. | afrowork/whatsapp/index.html: .wb-why-grid keeps 2 columns until 640px.","afrowork/whatsapp/index.html | shared early-collapse layout pattern"
"/agriculture/pesticide-dosage/","agriculture/pesticide-dosage/index.html","agriculture","tap_targets_below_44","agriculture/pesticide-dosage/index.html: .toggle-slider::before is likely about 16px tall.","agriculture/pesticide-dosage/index.html | shared 44px tap target pattern"
"/algeria/","algeria/index.html","algeria","tap_targets_below_44","algeria/index.html: .hub-cta a is likely about 38.9px tall.","algeria/index.html | shared 44px tap target pattern"
"/algeria/","algeria/index.html","algeria","late_multicolumn_collapse","algeria/index.html: .hub-info-grid keeps 2 columns until 600px.","algeria/index.html | shared early-collapse layout pattern"
"/all-tools/","all-tools/index.html","all-tools","sub16_form_controls","all-tools/index.html: .search-icon sets control text to 14.4px.","all-tools/index.html | shared mobile form sizing pattern"
"/angola/","angola/index.html","angola","tap_targets_below_44","angola/index.html: .hub-cta a is likely about 38.9px tall.","angola/index.html | shared 44px tap target pattern"
"/angola/","angola/index.html","angola","late_multicolumn_collapse","angola/index.html: .hub-info-grid keeps 2 columns until 600px.","angola/index.html | shared early-collapse layout pattern"
"/api/","api/index.html","api","late_multicolumn_collapse","api/index.html: .catalog keeps 4 columns until 620px. | api/index.html: .flow keeps 4 columns until 620px. | api/index.html: .pricing-preview keeps 4 columns until 620px. | api/index.html: .catalog,.pricing-preview keeps 2 columns until 620px. | api/index.html: .flow keeps 2 columns until 620px.","api/index.html | shared early-collapse layout pattern"
"/api/pricing.html","api/pricing.html","api","late_multicolumn_collapse","api/pricing.html: .plans keeps 4 columns until 680px. | api/pricing.html: .plans keeps 2 columns until 680px.","api/pricing.html | shared early-collapse layout pattern"
"/auth/","auth/index.html","auth","late_multicolumn_collapse","auth/index.html: .auth-tabs keeps 3 columns until 520px. | auth/index.html: .auth-row keeps 2 columns until 520px. | auth/index.html: .oauth-grid keeps 2 columns until 520px.","auth/index.html | shared early-collapse layout pattern"
"/auth/login.html","auth/login.html","auth","custom_mobile_nav_search","auth/login.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","auth | assets/js/components/navbar.js adoption"
"/benin/","benin/index.html","benin","tap_targets_below_44","benin/index.html: .hub-cta a is likely about 38.9px tall.","benin/index.html | shared 44px tap target pattern"
"/benin/","benin/index.html","benin","late_multicolumn_collapse","benin/index.html: .hub-info-grid keeps 2 columns until 600px.","benin/index.html | shared early-collapse layout pattern"
"/blog/comparatif-salaires-afrique-francophone/","blog/comparatif-salaires-afrique-francophone/index.html","blog","custom_mobile_nav_search","blog/comparatif-salaires-afrique-francophone/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","blog | assets/js/components/navbar.js adoption"
"/blog/francophone-africa-tax-guide-2026/","blog/francophone-africa-tax-guide-2026/index.html","blog","custom_mobile_nav_search","blog/francophone-africa-tax-guide-2026/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","blog | assets/js/components/navbar.js adoption"
"/botswana/","botswana/index.html","botswana","tap_targets_below_44","botswana/index.html: .hub-cta a is likely about 38.9px tall.","botswana/index.html | shared 44px tap target pattern"
"/botswana/","botswana/index.html","botswana","late_multicolumn_collapse","botswana/index.html: .hub-info-grid keeps 2 columns until 600px.","botswana/index.html | shared early-collapse layout pattern"
"/burkina-faso/","burkina-faso/index.html","burkina-faso","tap_targets_below_44","burkina-faso/index.html: .hub-cta a is likely about 38.9px tall.","burkina-faso/index.html | shared 44px tap target pattern"
"/burkina-faso/","burkina-faso/index.html","burkina-faso","late_multicolumn_collapse","burkina-faso/index.html: .hub-info-grid keeps 2 columns until 600px.","burkina-faso/index.html | shared early-collapse layout pattern"
"/burundi/","burundi/index.html","burundi","tap_targets_below_44","burundi/index.html: .hub-cta a is likely about 38.9px tall.","burundi/index.html | shared 44px tap target pattern"
"/burundi/","burundi/index.html","burundi","late_multicolumn_collapse","burundi/index.html: .hub-info-grid keeps 2 columns until 600px.","burundi/index.html | shared early-collapse layout pattern"
"/business-roi/","business-roi/index.html","business-roi","late_multicolumn_collapse","business-roi/index.html: .highlights keeps 2 columns until no collapse rule.","business-roi/index.html | shared early-collapse layout pattern"
"/business/break-even/","business/break-even/index.html","business","custom_mobile_nav_search","business/break-even/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/","business/index.html","business","custom_mobile_nav_search","business/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/invoice/","business/invoice/index.html","business","custom_mobile_nav_search","business/invoice/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/payroll/","business/payroll/index.html","business","custom_mobile_nav_search","business/payroll/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/business/setup/","business/setup/index.html","business","custom_mobile_nav_search","business/setup/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","business | assets/js/components/navbar.js adoption"
"/cabo-verde/","cabo-verde/index.html","cabo-verde","custom_mobile_nav_search","cabo-verde/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","cabo-verde | assets/js/components/navbar.js adoption"
"/cameroon/","cameroon/index.html","cameroon","tap_targets_below_44","cameroon/index.html: .hub-cta a is likely about 38.9px tall.","cameroon/index.html | shared 44px tap target pattern"
