file,line,phrase,surface,context
"404.html","99","coming soon","page","<p class=""sub"">The tool or country page you're looking for is either coming soon or the URL has changed. Try searching below.</p>"
"about/index.html","509","AI-powered","page","<h3>AI-Powered Insight</h3>"
"african/index.html","264","coming soon","page","<p class=""sec-sub"">Live and coming soon — every tool in this category.</p>"
"african/index.html","350","coming soon","page"," ? '<span class=""feat-badge-live"">Live</span>' : '<span class=""feat-badge-soon"">Coming Soon</span>')"
"african/index.html","375","coming soon","page","+ '<span class=""tr-badge soon"">Coming Soon</span></div></div>';"
"afrowork/whatsapp/index.html","375","AI-powered","page","<div class=""wb-ex-badge"">AI-powered</div>"
"afrowork/whatsapp/index.html","478","AI-powered","page","<div class=""wb-cmd-desc"">AI-powered (Claude) with exact law citations. All 54 African countries.</div>"
"agriculture/farm-loans/cote-d-ivoire.html","359","ecosystem","page","<p>Côte d'Ivoire has a structured agricultural finance ecosystem anchored by BNI (Banque Nationale d'Investissement), which offers loans at 7% per year — well below"
"agriculture/farm-loans/tunisia.html","359","ecosystem","page","<p>Tunisia's agricultural finance ecosystem is led by BNA (Banque Nationale Agricole), the dedicated state agricultural bank with branches in a"
"agriculture/livestock-feed/senegal.html","206","facilitate","page","mers. For the peri-urban dairy sector, LAITERIE DU BERGER and similar companies facilitate feed access for their contracted dairy farmers. Commercial poultry feed prices are relatively stabl"
"agriculture/livestock-feed/tunisia.html","206","facilitate","page","ates collective purchasing arrangements for its members, and dairy cooperatives facilitate access to compound feeds at negotiated prices.</p>"
"agriculture/seed-rate/algeria.html","395","solution","page",""">Vegetative crops</span><span class=""il-val"">Cassava: dip cuttings in Mancozeb solution (2g/L) for 5 min to control mosaic virus vectors. Yam: treat minisetts with Apron Star + copper fun"
"agriculture/seed-rate/angola.html","414","solution","page",""">Vegetative crops</span><span class=""il-val"">Cassava: dip cuttings in Mancozeb solution (2g/L) for 5 min to control mosaic virus vectors. Yam: treat minisetts with Apron Star + copper fun"
"agriculture/seed-rate/benin.html","395","solution","page",""">Vegetative crops</span><span class=""il-val"">Cassava: dip cuttings in Mancozeb solution (2g/L) for 5 min to control mosaic virus vectors. Yam: treat minisetts with Apron Star + copper fun"
"agriculture/seed-rate/botswana.html","395","solution","page",""">Vegetative crops</span><span class=""il-val"">Cassava: dip cuttings in Mancozeb solution (2g/L) for 5 min to control mosaic virus vectors. Yam: treat minisetts with Apron Star + copper fun"
