batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,tool-card,68,Pomodoro Timer,pomodoro,pomodoro,/tools/pomodoro/,/assets/img/tools/,pomodoro.webp,800x450,WebP,"Create an AfroTools web-card banner for Pomodoro Timer. simple doodle, soft pastel fills, black outline. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
2,tool-card,62,Event Countdown Timer,countdown-timer,countdown-timer,/tools/countdown-timer/,/assets/img/tools/,countdown-timer.webp,800x450,WebP,"Create an AfroTools web-card banner for Event Countdown Timer. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
3,tool-card,62,Tip & Bill Splitter,tip-calculator,tip-calculator,/tools/tip-calculator/,/assets/img/tools/,tip-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Tip & Bill Splitter. watercolor wash with ink line. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
4,tool-card,61,Window & Door Sizing Guide,window-door-sizing,window-door-sizing,/tools/window-door-sizing/,/assets/img/tools/,window-door-sizing.webp,800x450,WebP,"Create an AfroTools web-card banner for Window & Door Sizing Guide. flat paper texture illustration. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=engineering; tier=T2.
5,tool-card,60,Meeting Cost Calculator,meeting-cost,meeting-cost,/tools/meeting-cost/,/assets/img/tools/,meeting-cost.webp,800x450,WebP,"Create an AfroTools web-card banner for Meeting Cost Calculator. soft 3D clay still life. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=data-productivity; tier=T3.
6,tool-card,60,Tithe & Offering Calculator,tithe-offering-calculator,tithe-offering-calculator,/tools/tithe-offering-calculator,/assets/img/tools/,tithe-offering-calculator.webp,800x450,WebP,"Create an AfroTools web-card banner for Tithe & Offering Calculator. simple doodle, soft pastel fills, black outline. Show money planning, calculator, receipt, local currency notes. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=financial; tier=T2.
7,tool-card,56,South Africa Livestock Feed Calculator,livestock-feed-south-africa,livestock-feed-south-africa,/agriculture/livestock-feed/south-africa,/assets/img/tools/,livestock-feed-south-africa.webp,800x450,WebP,"Create an AfroTools web-card banner for South Africa Livestock Feed Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
8,tool-card,56,Morocco Farm Profit Calculator,farm-profit-morocco,farm-profit-morocco,/agriculture/farm-profit/morocco,/assets/img/tools/,farm-profit-morocco.webp,800x450,WebP,"Create an AfroTools web-card banner for Morocco Farm Profit Calculator. soft 3D clay still life. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
9,tool-card,56,Ethiopia Farm Worker Payroll Calculator,farm-payroll-ethiopia,farm-payroll-ethiopia,/agriculture/farm-payroll/ethiopia,/assets/img/tools/,farm-payroll-ethiopia.webp,800x450,WebP,"Create an AfroTools web-card banner for Ethiopia Farm Worker Payroll Calculator. modern dashboard abstraction. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
10,tool-card,54,Match Ticket Price Comparator Africa,match-tickets,match-tickets,/tools/match-tickets/,/assets/img/tools/,match-tickets.webp,800x450,WebP,"Create an AfroTools web-card banner for Match Ticket Price Comparator Africa. watercolor wash with ink line. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Canonical app image. Reuse for translated pages unless visible localized text is required. Category=sports; tier=T3.
