batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,1,tool-card,54,Tanzania Farm Worker Payroll Calculator,farm-payroll-tanzania,farm-payroll-tanzania,/agriculture/farm-payroll/tanzania,/assets/img/tools/,farm-payroll-tanzania.webp,800x450,WebP,"Create an AfroTools web-card banner for Tanzania Farm Worker Payroll Calculator. watercolor wash with ink line. Show field planning, produce, seeds, irrigation, farm notebook. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-08-top-100.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=agriculture; tier=T3.
1,2,afrostream-news,463,AfroCannes 2026 puts African film creators in Cannes creator-economy week,afrocannes-2026-cannes-african-creator-platform,afrocannes-2026-cannes-african-creator-platform,/tools/afrostream/news/afrocannes-2026-cannes-african-creator-platform/,/assets/img/afrostream/news/,afrocannes-2026-cannes-african-creator-platform.webp,1200x630,WebP,"Create an AfroStream news/blog feature card for: AfroCannes 2026 puts African film creators in Cannes creator-economy week. Make it a clean editorial thumbnail, more like a simple logo/poster/badge than a generic scene. Use bold flat shapes, one central emblem, 2 or 3 article-specific objects, high contrast, 1200x630 social-card crop. Short readable label text is allowed only if simple and central. No fake screenshots, no clutter. Main cues: film festival badge, red carpet strip, cinema camera, palm leaf or laurel shape, small Africa map mark, Cannes creator week mood. Use recognizable topic cues, but do not copy official logos exactly and do not use exact celebrity faces.","Article-grounded AfroStream news card prompt. Prefer simple badge/logo-style composition and obvious story cues over generic creator scenes. Carry-forward from next-critical-images-2026-06-08-top-100.csv. Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/afrocannes-2026-cannes-african-creator-platform.webp. Category=platform."
1,3,afrostream-avatar,560,EBS TV,ebs-tv,ebs-tv,/tools/afrostream/creator/ebs-tv/,/assets/img/afrostream/creators/,ebs-tv-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/ebstv_worldwide. Backup reference: https://youtube.com/@EBSTVEthiopia. Create a close AfroStream cartoon avatar for EBS TV, profile badge or group/channel caricature. Use the online reference to capture recognizable public-profile cues: logo colors, channel vibe, group silhouette, recurring outfit/color cues, and profile composition. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ET; Entertainment, Lifestyle; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/ebstv_worldwide; backup: https://youtube.com/@EBSTVEthiopia. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,4,afrostream-avatar,560,Kevin Richardson,kevin-richardson,kevin-richardson,/tools/afrostream/creator/kevin-richardson/,/assets/img/afrostream/creators/,kevin-richardson-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/lionwhisperersa. Backup reference: https://youtube.com/@LionWhispererTV. Create a close AfroStream cartoon avatar for Kevin Richardson, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Education, Lifestyle, IRL; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/lionwhisperersa; backup: https://youtube.com/@LionWhispererTV. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,5,afrostream-avatar,542,Marioo,marioo,marioo,/tools/afrostream/creator/marioo/,/assets/img/afrostream/creators/,marioo-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/marioo. Backup reference: https://youtube.com/@MariooOfficial. Create a close AfroStream cartoon avatar for Marioo, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: TZ; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/marioo; backup: https://youtube.com/@MariooOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
1,6,kitchen-recipe,440,Dambou - Finished dish hero,dambou-ne,dambou-ne,/tools/afrokitchen/recipes/dambou-ne/,/assets/img/kitchen/,dambou-ne.webp,800x600,WebP,"Finished Dambou, a Niger main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",Carry-forward from next-critical-images-2026-06-08-top-100.csv. AfroKitchen hero asset. Country=Niger.
1,7,kitchen-recipe,440,Bobotie - Finished dish hero,bobotie-za,bobotie-za,/tools/afrokitchen/recipes/bobotie-za/,/assets/img/kitchen/,bobotie-za.webp,800x600,WebP,"Finished Bobotie, a South Africa main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",Carry-forward from next-critical-images-2026-06-08-top-100.csv. AfroKitchen hero asset. Country=South Africa.
1,8,tool-card,99,Africa Election Tracker,africa-election-tracker,africa-election-tracker,/tools/africa-election-tracker/,/assets/img/tools/,africa-election-tracker.webp,800x450,WebP,"Create an AfroTools web-card banner for Africa Election Tracker. modern dashboard abstraction. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=government; tier=T2.
1,9,tool-card,50,Annual Returns Filing Guide - African Companies,annual-returns,annual-returns,/tools/annual-returns/,/assets/img/tools/,annual-returns.webp,800x450,WebP,"Create an AfroTools web-card banner for Annual Returns Filing Guide - African Companies. flat paper texture illustration. Show documents, checklist, signature pen, business folder. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=legal; tier=T3.
1,10,tool-card,50,Bill Split Calculator - Africa,bill-split,bill-split,/tools/bill-split/,/assets/img/tools/,bill-split.webp,800x450,WebP,"Create an AfroTools web-card banner for Bill Split Calculator - Africa. simple doodle, soft pastel fills, black outline. Show practical African web app objects and forms. No readable text, no logos, no brand marks. 16:9, polished, useful for social cards.",Carry-forward from next-critical-images-2026-06-11-next-300.csv. Canonical app image. Reuse for translated pages unless visible localized text is required. Category=fintech; tier=T3.
