batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,tool-card,135,Remittance Comparator Pro,remittance-v2,remittance-v2,/tools/remittance-v2/,/assets/img/tools/,remittance-v2.webp,800x450,WebP,"Create an AfroTools web-card banner for Remittance Comparator Pro. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show pan-African utility dashboard, map fragments, local market and office cues. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=african; tier=T1.
2,tool-card,128,African Central Bank Rates,interest-rate-ref,interest-rate-ref,/tools/interest-rate-ref/,/assets/img/tools/,interest-rate-ref.webp,800x450,WebP,"Create an AfroTools web-card banner for African Central Bank Rates. simple doodle style, soft pastel fills, black outline, friendly product-card composition. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T1.
3,tool-card,116,Background Remover Studio,background-remover,background-remover,/tools/background-remover/,/assets/img/tools/,background-remover.webp,800x450,WebP,"Create an AfroTools web-card banner for Background Remover Studio. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=image-design; tier=T2.
4,tool-card,113,Image Crop Studio,image-crop,image-crop,/tools/image-crop/,/assets/img/tools/,image-crop.webp,800x450,WebP,"Create an AfroTools web-card banner for Image Crop Studio. ink sketch with watercolor wash, black outline, airy composition, no text. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=image-design; tier=T2.
5,tool-card,113,YouTube Thumbnail Studio,thumbnail-maker,thumbnail-maker,/tools/thumbnail-maker/,/assets/img/tools/,thumbnail-maker.webp,800x450,WebP,"Create an AfroTools web-card banner for YouTube Thumbnail Studio. soft 3D clay illustration, rounded but not childish, compact product-card layout. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=image-design; tier=T2.
6,tool-card,103,Shipping Cost Calculator,shipping-calc,shipping-calc,/tools/shipping-calc/,/assets/img/tools/,shipping-calc.webp,800x450,WebP,"Create an AfroTools web-card banner for Shipping Cost Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show market stall, invoice, phone payment, package, small business counter. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=ecommerce; tier=T2.
7,tool-card,100,Amharic Translator,amharic-translator,amharic-translator,/tools/amharic-translator/,/assets/img/tools/,amharic-translator.webp,800x450,WebP,"Create an AfroTools web-card banner for Amharic Translator. simple doodle style, soft pastel fills, black outline, friendly product-card composition. Show African utility tool, practical browser app, forms, controls, dashboard objects. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=language; tier=T2.
8,tool-card,100,Liberia PAYE Calculator,lr-paye,lr-paye,/liberia/lr-paye,/assets/img/tools/,lr-paye.webp,800x450,WebP,"Create an AfroTools web-card banner for Liberia PAYE Calculator. modern dashboard mockup scene with abstract charts and forms, no readable text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T1.
9,tool-card,100,Business Plan Builder,business-plan-builder,business-plan-builder,/tools/business-plan-builder,/assets/img/tools/,business-plan-builder.webp,800x450,WebP,"Create an AfroTools web-card banner for Business Plan Builder. simple doodle style, soft pastel fills, black outline, friendly product-card composition. Show market stall, invoice, phone payment, package, small business counter. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=ecommerce; tier=T1.
10,tool-card,98,Student Loan Repayment Calculator,student-loan,student-loan,/tools/student-loan/,/assets/img/tools/,student-loan.webp,800x450,WebP,"Create an AfroTools web-card banner for Student Loan Repayment Calculator. photo-real workspace scene with hands and everyday objects, no logos and no readable UI text. Show money planning, payroll, tax forms, calculator, receipts, local currency notes. No readable text, no logos, no brand marks, no UI labels. 16:9, polished, inspectable, social-share friendly.",Canonical image for English/app route. Reuse this same image for translated copies unless the graphic itself needs visible localized words. Category=financial; tier=T2.
