priority,prospect,country,recipient,subject,source_url,target_asset,status,confirmation_needed
high,Consolidated Employers Organisation,South Africa,admin@ceosa.org.za,Practical widget for your BCEA annual-leave article,https://ceosa.org.za/annual-leave-under-the-bcea-what-employers-must-grant-and-what-they-must-pay/,https://afrotools.com/widgets/,sent,no
high,LabourNet,South Africa,solutions@labournet.com,Interactive resource for your annual-leave accrual guide,https://www.labournet.com/annual-leave-accrual-and-forfeiture-in-south-africa-a-practical-guide-for-employers-and-hr-professionals/,https://afrotools.com/widgets/,sent,no
high,Bizcraft,South Africa,info@bizcraft.co.za,Interactive leave tool for your complete 2026 guide,https://bizcraft.co.za/blog/leave-rights-in-south-africa/,https://afrotools.com/widgets/,sent,no
high,Labour Guide South Africa,South Africa,hanlie@labourguide.co.za,Interactive companion for your annual-leave guide,https://labourguide.co.za/employment-condition/working-time-and-overtime/annual-leave-a-comprehensive-guide-2,https://afrotools.com/widgets/,sent,no
high,Basket Advisory,Uganda,solutions@basketadvisory.com,Interactive companion for your Uganda employer guide,https://basketadvisory.com/blog-employment-act-uganda.html,https://afrotools.com/widgets/,sent,no
high,Kampala Associated Advocates,Uganda,info@kaa.co.ug,Practical tool for your Uganda annual-leave article,https://www.kaa.co.ug/the-right-to-annual-leave-and-the-law-in-uganda/,https://afrotools.com/widgets/,sent,no
high,Lawpoint Uganda,Uganda,lawpointuganda@gmail.com,Interactive resource for your annual-leave analysis,https://www.lawpointuganda.com/post/understanding-the-law-and-practice-of-annual-leave-in-uganda-is-it-an-entitlement-or-a-privilege,https://afrotools.com/widgets/,sent,no
high,Ecolink Power Systems,Kenya,info@ecolinkpowersystems.com,Interactive follow-up for your Kenya solar payback guide,https://ecolinkpowersystems.com/solar-payback-period-kenya/,https://afrotools.com/tools/solar-roi/kenya/,sent,no
medium,Solar City Eco Energies,Kenya,solarcityecoenergies0@gmail.com,A reader calculator for your Kenya solar pricing guide,https://solarcityecoenergies.co.ke/solar-panel-in-kenya/,https://afrotools.com/tools/solar-roi/kenya/,sent,no
high,Kwetu News,Kenya,info.kwetucollections@gmail.com,Interactive calculator for your business solar cost table,https://kwetucollections.co.ke/2025/07/12/business-solar-panels-kenya-costs-top-providers-2025/,https://afrotools.com/tools/solar-roi/kenya/,sent,no
