batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
2,201,afrostream-avatar,82,Makhadzi avatar,makhadzi,makhadzi,/tools/afrostream/creator.html?slug=makhadzi,/assets/img/afrostream/creators/,makhadzi-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/makhadziofficial. Backup reference: https://youtube.com/@MakhadziSA. Create a close AfroStream cartoon avatar for Makhadzi, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Music, Dance, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/makhadziofficial; backup: https://youtube.com/@MakhadziSA. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,202,afrostream-avatar,82,Mihlali Ndamase avatar,mihlali-ndamase,mihlali-ndamase,/tools/afrostream/creator.html?slug=mihlali-ndamase,/assets/img/afrostream/creators/,mihlali-ndamase-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/mihlali_n. Backup reference: https://youtube.com/@MihlaliN. Create a close AfroStream cartoon avatar for Mihlali Ndamase, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Beauty, Lifestyle, Travel; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/mihlali_n; backup: https://youtube.com/@MihlaliN. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,203,afrostream-avatar,82,Skits By Sphe avatar,skits-by-sphe,skits-by-sphe,/tools/afrostream/creator.html?slug=skits-by-sphe,/assets/img/afrostream/creators/,skits-by-sphe-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/skitsbysphe. Backup reference: https://youtube.com/@SkitsBySphe. Create a close AfroStream cartoon avatar for Skits By Sphe, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Comedy, Skits, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/skitsbysphe; backup: https://youtube.com/@SkitsBySphe. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,204,afrostream-avatar,82,King Oumar avatar,king-oumar,king-oumar,/tools/afrostream/creator.html?slug=king-oumar,/assets/img/afrostream/creators/,king-oumar-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/kingoumar. Backup reference: https://youtube.com/@KingOumar. Create a close AfroStream cartoon avatar for King Oumar, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Entertainment, Comedy, IRL; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/kingoumar; backup: https://youtube.com/@KingOumar. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,205,afrostream-avatar,82,MCPEMike avatar,mcpemike,mcpemike,/tools/afrostream/creator.html?slug=mcpemike,/assets/img/afrostream/creators/,mcpemike-avatar.webp,400x400,WebP,"Check reference first: https://youtube.com/@MCPEMike. Backup reference: https://www.google.com/search?tbm=isch&q=MCPEMike%20ZA%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for MCPEMike, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ZA; Gaming, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://youtube.com/@MCPEMike; backup: https://www.google.com/search?tbm=isch&q=MCPEMike%20ZA%20official%20profile%20portrait. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,206,afrostream-avatar,82,Jalang'o avatar,jalango,jalango,/tools/afrostream/creator.html?slug=jalango,/assets/img/afrostream/creators/,jalango-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/jalango_mwenyewe. Backup reference: https://youtube.com/@JalangoMwenyewe. Create a close AfroStream cartoon avatar for Jalang'o, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Comedy, Lifestyle, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/jalango_mwenyewe; backup: https://youtube.com/@JalangoMwenyewe. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,207,afrostream-avatar,82,Henry Desagu avatar,henry-desagu,henry-desagu,/tools/afrostream/creator.html?slug=henry-desagu,/assets/img/afrostream/creators/,henry-desagu-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/henrydesagu. Backup reference: https://youtube.com/@HenryDesagu. Create a close AfroStream cartoon avatar for Henry Desagu, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Comedy, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/henrydesagu; backup: https://youtube.com/@HenryDesagu. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,208,afrostream-avatar,82,Abel Mutua avatar,abel-mutua,abel-mutua,/tools/afrostream/creator.html?slug=abel-mutua,/assets/img/afrostream/creators/,abel-mutua-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/abelmutua. Backup reference: https://youtube.com/@AbelMutuaOfficial. Create a close AfroStream cartoon avatar for Abel Mutua, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Comedy, Entertainment, Lifestyle; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/abelmutua; backup: https://youtube.com/@AbelMutuaOfficial. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,209,afrostream-avatar,82,Lynn Ngugi avatar,lynn-ngugi,lynn-ngugi,/tools/afrostream/creator.html?slug=lynn-ngugi,/assets/img/afrostream/creators/,lynn-ngugi-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/lynn_ngugi. Backup reference: https://youtube.com/@LynnNgugi. Create a close AfroStream cartoon avatar for Lynn Ngugi, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; News, Podcast, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/lynn_ngugi; backup: https://youtube.com/@LynnNgugi. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
2,210,afrostream-avatar,82,Khaligraph Jones avatar,khaligraph-jones,khaligraph-jones,/tools/afrostream/creator.html?slug=khaligraph-jones,/assets/img/afrostream/creators/,khaligraph-jones-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/khaligraph. Backup reference: https://youtube.com/@KhaligraphJones. Create a close AfroStream cartoon avatar for Khaligraph Jones, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: KE; Music, Entertainment; youtube. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Online reference required before generation. Primary reference: https://instagram.com/khaligraph; backup: https://youtube.com/@KhaligraphJones. Use close cartoon/sketch resemblance from visible cues, no photorealistic copy, no platform UI. Closer avatar prompt: cartoon/sketch caricature with recognizable public-persona cues, avoiding single-photo copying, logos, and photorealism."
