country,key,region,currency,confidenceStatus,confidenceLabel,missingFields,sourceGaps,priorityScore,recommendedAction
"Argentina","argentina","Latin America","ARS","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Bahrain","bahrain","Middle East","BHD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Barbados","barbados","Latin America","BBD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Brazil","brazil","Latin America","BRL","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Chile","chile","Latin America","CLP","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Colombia","colombia","Latin America","COP","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Costa Rica","costa-rica","Latin America","CRC","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Dominican Republic","dominican-republic","Latin America","DOP","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Ecuador","ecuador","Latin America","USD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Israel","israel","Middle East","ILS","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Jamaica","jamaica","Latin America","JMD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Jordan","jordan","Middle East","JOD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Kuwait","kuwait","Middle East","KWD","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Lebanon","lebanon","Middle East","LBP","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Oman","oman","Middle East","OMR","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Panama","panama","Latin America","PAB","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Peru","peru","Latin America","PEN","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Qatar","qatar","Middle East","QAR","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
"Saudi Arabia","saudi-arabia","Middle East","SAR","needs_verification","Needs verification","country-specific tuition source; official visa/proof-of-funds source; official or institution living-cost source; insurance source; country-specific setup/travel methodology","No country-specific official tuition or institution fee URL attached.; No country-specific official immigration/proof-of-funds URL attached.; Living, insurance, setup, and travel values use regional planning estimates.; Regional confidence is low; show ranges instead of precise totals.; FX is static_estimate unless a timestamped cached/live provider is shown.","92","Verify official visa/proof-of-funds and at least one education-sector cost source before showing precise totals."
