vehicle_id,make,make_slug,model,model_slug,year,body_type,trim,engine_cc_min,engine_cc_max,fuel_types,transmissions,source_markets,mileage_band,condition_note,price_min_usd,price_median_usd,price_max_usd,confidence,last_updated,tags,catalog_status,launch_priority
toyota-camry-2005,Toyota,toyota,Camry,camry,2005,sedan,Base / LE,2400,3000,petrol,automatic,japan|uae|uk|local-dealer,120k-220k km,local or older import,2100,2700,3600,medium,2026-03-15,popular|risky-age|budget,active,seed
toyota-camry-2012,Toyota,toyota,Camry,camry,2012,sedan,XV50,2500,3500,petrol,automatic,uae|uk|japan|local-dealer,90k-170k km,foreign used,5200,6800,9000,medium,2026-03-15,popular|sedan,active,seed
toyota-corolla-2018,Toyota,toyota,Corolla,corolla,2018,sedan,1.8 sedan,1500,1800,petrol,automatic|cvt,japan|uae|uk|south-africa|local-dealer,40k-110k km,foreign used,6900,8200,10100,medium,2026-03-10,popular|family,active,seed
toyota-axio-2018,Toyota,toyota,Axio,axio,2018,sedan,1.5 / Hybrid,1500,1800,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,40k-100k km,foreign used,6200,7600,9300,medium,2026-03-14,popular|kenya|hybrid,active,seed
toyota-axio-2019,Toyota,toyota,Axio,axio,2019,sedan,1.5 / Hybrid,1500,1800,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,35k-95k km,foreign used,6800,7800,9800,medium,2026-03-14,popular|kenya|hybrid,active,seed
toyota-vitz-2015,Toyota,toyota,Vitz / Yaris,vitz-yaris,2015,hatchback,1.0 / 1.3,1000,1300,petrol,automatic|cvt,japan|uk|local-dealer,70k-140k km,foreign used,3600,4700,6200,medium,2026-02-25,budget|city,active,seed
toyota-noah-2014,Toyota,toyota,Noah / Voxy,noah,2014,mpv,2.0 petrol,1980,2000,petrol,automatic|cvt,japan|uk|local-dealer,80k-160k km,foreign used,6200,7800,10100,medium,2026-03-12,family|mpv|risky-age,active,seed
toyota-noah-2018,Toyota,toyota,Noah / Voxy,noah,2018,mpv,2.0 / Hybrid,1800,2000,petrol|hybrid,automatic|cvt,japan|uk|local-dealer,45k-110k km,foreign used,11800,14500,17800,medium,2026-03-12,family|mpv|hybrid,active,seed
toyota-prado-2016,Toyota,toyota,Prado,prado,2016,suv,2.7 / 3.0,2700,3000,petrol|diesel,automatic,japan|uae|south-africa|local-dealer,70k-150k km,foreign used,25000,32000,43000,low,2026-02-20,suv|premium,active,seed
toyota-prado-2020,Toyota,toyota,Prado,prado,2020,suv,2.7 / 3.0,2700,3000,petrol|diesel,automatic,japan|uae|south-africa|local-dealer,35k-100k km,foreign used,38000,47000,62000,low,2026-02-20,suv|premium,active,seed
toyota-hilux-2015,Toyota,toyota,Hilux,hilux,2015,pickup,2.5 diesel,2400,3000,diesel,manual|automatic,japan|uae|south-africa|local-dealer,80k-180k km,foreign used,9500,11800,15500,medium,2026-03-11,pickup|work,active,seed
toyota-hilux-2020,Toyota,toyota,Hilux,hilux,2020,pickup,2.4 / 2.8 diesel,2400,2800,diesel,manual|automatic,japan|uae|south-africa|local-dealer,40k-110k km,foreign used,23000,28500,37000,medium,2026-03-11,pickup|work,active,seed
honda-cr-v-2016,Honda,honda,CR-V,cr-v,2016,suv,2.0 / 2.4,2000,2400,petrol,automatic|cvt,japan|uae|uk|local-dealer,60k-140k km,foreign used,8200,9800,12600,medium,2026-03-16,suv|popular,active,seed
