template_type,source_files,example_urls,affected_pages,major_risks,mobile_checked,dark_mode_checked,copy_checked,functionality_checked
"Homepage","index.html; assets/css/design-system.css; assets/js/components/navbar.js; assets/js/components/footer.js","/","1","High traffic entry point; nav, search, mobile weight, dark mode, trust copy.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Tool pages","tools/**/index.html; assets/js/components/tool-registry.js; assets/css/tool-layout.css; assets/css/calculator.css","/tools/50-30-20-budget/ | /tools/afcfta-tracker/ | /tools/afcon-predictor/ | /tools/affidavit-generator/ | /tools/africa-conflict/actors | /tools/africa-conflict/conflicts | /tools/africa-conflict/conflicts/burkina-faso-insurgency/ | /tools/africa-conflict/conflicts/cameroon-anglophone/ | /tools/africa-conflict/conflicts/car-civil-war/ | /tools/africa-conflict/conflicts/drc-eastern-conflict/","2524","Many independently authored tools; form labels, result clarity, mobile controls, dark mode, related links.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Calculator and estimator pages","tools/**; country calculator pages; assets/js/engines/**; assets/css/calculator.css; tool-specific scripts","/admin/car-import-cost-rules | /admin/car-price-intelligence | /admin/cocoa-prices | /admin/coffee-prices | /admin/commodity-prices | /admin/input-prices | /admin/wages | /agriculture/coffee-calculator/ | /agriculture/commodity-prices/ | /agriculture/cooperative-calculator/","2398","Formula correctness, invalid input handling, result readability, labels, mobile overflow.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Country pages","country directories; assets/js/components/country-tools.js; assets/js/components/tool-registry.js","/algeria/dz-paye | /algeria/dz-vat | /algeria/ | /angola/ao-paye | /angola/ao-vat | /angola/ | /benin/bj-paye | /benin/bj-vat | /benin/ | /botswana/bw-paye","163","Localized/country-specific links, thin metadata, card grids, mobile category navigation.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Category pages","category directories; shared card grids; assets/js/components/tool-registry.js","/african/ | /agriculture/cassava-processing/angola | /agriculture/cassava-processing/benin | /agriculture/cassava-processing/cameroon | /agriculture/cassava-processing/cote-d-ivoire | /agriculture/cassava-processing/dr-congo | /agriculture/cassava-processing/ghana | /agriculture/cassava-processing/guinea | /agriculture/cassava-processing/ | /agriculture/cassava-processing/madagascar","2318","Repeated grid/card layout, generic copy, metadata duplication, mobile collapse.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Blog and content pages","blog/**/index.html; scripts/generate-blog-feed.js; shared article styles","/blog/afcfta-import-duties-africa-2026/ | /blog/african-recipes/ | /blog/african-startup-funding-2026/ | /blog/ajo-interest-calculation/ | /blog/ajo-savings-group/ | /blog/average-salary-kenya-2026/ | /blog/average-salary-nigeria-2026/ | /blog/average-salary-south-africa-2026/ | /blog/bareme-irpp-cote-divoire/ | /blog/best-budgeting-methods-africa-2026/","193","Long-form readability, headings, metadata, feed consistency, images/alt.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Localized pages","fr/**; sw/**; ha/**; yo/**; scripts/build-i18n.js; scripts/validate-hreflang.js; language catalogs","/fr/404 | /fr/about/ | /fr/advertise/ | /fr/african/ | /fr/agriculture/cassava-processing/angola | /fr/agriculture/cassava-processing/benin | /fr/agriculture/cassava-processing/cameroon | /fr/agriculture/cassava-processing/cote-d-ivoire | /fr/agriculture/cassava-processing/dr-congo | /fr/agriculture/cassava-processing/ghana","2698","Hreflang reciprocity, mixed-language leakage, generated output drift, copy quality.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Swahili pages","sw/**; scripts/build-i18n.js; assets/js/components/tool-registry.js localized entries","/sw/404 | /sw/afya-na-bima/ | /sw/afya/ | /sw/algeria/ | /sw/algeria/kikokotoo-gharama-ya-kibali-cha-kazi/ | /sw/algeria/kikokotoo-gharama-ya-mfanyakazi/ | /sw/algeria/kikokotoo-kiinua-mgongo/ | /sw/algeria/kikokotoo-kodi-mshahara/ | /sw/algeria/kikokotoo-malipo-ya-kuachishwa-kazi/ | /sw/algeria/kikokotoo-vat/","854","Swahili route discovery, localized nav, language alternates, mobile shell.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Legal and policy pages","privacy/**; terms/**; security/**; about/**; contact/**; faq/**","/about/ | /contact/ | /faq/ | /privacy/ | /security/ | /terms/","6","Trust/compliance copy, headings, contact paths, noindex mistakes.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Search and listing pages","search/**; all-tools/**; categories/**; countries/**; assets/js/components/tool-registry.js; data/search-index.json","/all-tools/ | /categories/ | /countries/ | /search/ | /tools/","5","Registry/search data correctness, keyboard search, empty states, result card accessibility.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"404 and offline pages","404.html; offline.html; service-worker.js","/404 | /offline","2","404 discovery paths, internal links, offline fallback clarity.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
"Special landing and product pages","pro/**; pricing/**; developers/**; dashboard/**; auth/**; api/**; widgets/**; netlify/functions/** where relevant","/advertise/ | /api/docs/ | /api/ | /api/pricing | /auth/ | /auth/login | /business-enquiry/ | /dashboard/api/ | /dashboard/ | /dashboard/vault/","272","Auth/dashboard/pro flows, Netlify functions, protected-state copy, release-surface risk.","Pending v2 mobile sample/audit","Pending v2 dark visual sample","Pending v2 copy scan/sample","Pending v2 functional sample where interactive"
