batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
1,1,tool-card,189,Angola Livestock Feed Calculator,livestock-feed-angola,livestock-feed-angola,/agriculture/livestock-feed/angola,/assets/img/tools/,livestock-feed-angola.webp,800x450,WebP,"Create an AfroTools web-card banner for Angola Livestock Feed Calculator. isometric app workspace with small realistic tools. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,2,tool-card,189,Tunisia Livestock Feed Calculator,livestock-feed-tunisia,livestock-feed-tunisia,/agriculture/livestock-feed/tunisia,/assets/img/tools/,livestock-feed-tunisia.webp,800x450,WebP,"Create an AfroTools web-card banner for Tunisia Livestock Feed Calculator. clean realistic workspace photo style with shallow depth. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,3,tool-card,188,Malawi Farm Worker Payroll Calculator,farm-payroll-malawi,farm-payroll-malawi,/agriculture/farm-payroll/malawi,/assets/img/tools/,farm-payroll-malawi.webp,800x450,WebP,"Create an AfroTools web-card banner for Malawi Farm Worker Payroll Calculator. calm editorial desk scene with warm natural light. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,4,tool-card,188,Algeria Fertilizer Calculator,fertilizer-algeria,fertilizer-algeria,/agriculture/fertilizer/algeria,/assets/img/tools/,fertilizer-algeria.webp,800x450,WebP,"Create an AfroTools web-card banner for Algeria Fertilizer Calculator. watercolor wash with crisp ink linework. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,5,tool-card,188,Benin Fertilizer Calculator,fertilizer-benin,fertilizer-benin,/agriculture/fertilizer/benin,/assets/img/tools/,fertilizer-benin.webp,800x450,WebP,"Create an AfroTools web-card banner for Benin Fertilizer Calculator. flat paper texture illustration with gentle shadows. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,6,tool-card,188,Botswana Fertilizer Calculator,fertilizer-botswana,fertilizer-botswana,/agriculture/fertilizer/botswana,/assets/img/tools/,fertilizer-botswana.webp,800x450,WebP,"Create an AfroTools web-card banner for Botswana Fertilizer Calculator. calm editorial desk scene with warm natural light. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,7,tool-card,188,Burkina Faso Fertilizer Calculator,fertilizer-burkina-faso,fertilizer-burkina-faso,/agriculture/fertilizer/burkina-faso,/assets/img/tools/,fertilizer-burkina-faso.webp,800x450,WebP,"Create an AfroTools web-card banner for Burkina Faso Fertilizer Calculator. tactile cut-paper collage with clean layered shapes. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,8,tool-card,188,Burundi Fertilizer Calculator,fertilizer-burundi,fertilizer-burundi,/agriculture/fertilizer/burundi,/assets/img/tools/,fertilizer-burundi.webp,800x450,WebP,"Create an AfroTools web-card banner for Burundi Fertilizer Calculator. isometric app workspace with small realistic tools. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,9,tool-card,188,Cabo Verde Fertilizer Calculator,fertilizer-cabo-verde,fertilizer-cabo-verde,/agriculture/fertilizer/cabo-verde,/assets/img/tools/,fertilizer-cabo-verde.webp,800x450,WebP,"Create an AfroTools web-card banner for Cabo Verde Fertilizer Calculator. tactile cut-paper collage with clean layered shapes. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
1,10,tool-card,188,Cameroon Fertilizer Calculator,fertilizer-cameroon,fertilizer-cameroon,/agriculture/fertilizer/cameroon,/assets/img/tools/,fertilizer-cameroon.webp,800x450,WebP,"Create an AfroTools web-card banner for Cameroon Fertilizer Calculator. flat paper texture illustration with gentle shadows. Show field planning, produce, seeds, irrigation lines, farm notebook. No readable text, no logos, no brand marks. 16:9 crop, polished, useful for social share cards.",Canonical app image. Reuse this same English/canonical asset for translated pages unless the graphic needs visible localized text. Category=agriculture; tier=T3; status=live.
