id,target,type,domain,submission_url,target_url,quality_score,status,login_needed,user_action,evidence,last_checked,notes
1,SaaSHub,product directory,saashub.com,https://www.saashub.com/verify/afrotools,https://afrotools.com/,A,existing - needs correction,yes,verify with an @afrotools.com email,"Existing profile confirmed at https://www.saashub.com/afrotools; three nofollow AfroTools links verified; profile contains stale or unsupported pricing, freshness, technology, and customer claims",2026-07-12,"Do not submit a duplicate; claim and correct the existing profile"
2,AlternativeTo,product directory,alternativeto.net,https://alternativeto.net/,https://afrotools.com/,A,qualified,yes,sign in or approve account creation,"Homepage inspected; public app catalog and signup flow confirmed",2026-07-12,"Strong discovery domain; add only as a real released web service"
3,Product Hunt,product launch directory,producthunt.com,https://www.producthunt.com/,https://afrotools.com/,A,qualified,yes,sign in and approve launch workflow,"Homepage inspected; current launch catalog and sign-in gate confirmed",2026-07-12,"Treat as a real launch campaign, not a drive-by backlink submission"
4,BetaList,startup directory,betalist.com,https://betalist.com/submit,https://afrotools.com/,A,qualified,yes,sign in and approve submission,"Homepage inspected; Submit Startup route and sign-in gate confirmed",2026-07-12,"Check acceptance fit and any fee before final submission"
5,Toolquix,tool directory,toolquix.com,https://toolquix.com/submit,https://afrotools.com/,D,rejected,no,none,"Catalog inspected; thin or dubious entries observed",2026-07-12,"Do not submit unless editorial quality materially improves"
6,G2,software review directory,g2.com,https://www.g2.com/products/new,https://afrotools.com/,A,qualified,yes,sign in and complete browser challenge,"G2 seller site inspected; official Add your product/service route confirmed; product form is challenge-gated in current browser",2026-07-12,"High-authority software marketplace; classify AfroTools honestly and do not solicit fabricated reviews"
7,Capterra / G2 Digital Markets,software review directory,capterra.com,https://app.g2digitalmarkets.com/get-listed/start,https://afrotools.com/,A,listing draft in progress,yes,upload the required screenshot and finish the remaining listing sections,"Account activation completed; request a85ceec5-ef1d-42cf-a748-0212b7b42795 is open in the authenticated vendor portal; the AI-generated description and product-detail claims were reviewed and corrected",2026-07-12,"Mandatory media upload is pending in the open file picker; do not count until the listing is submitted, approved, public, and the outbound link is independently verified"
8,F6S,startup community,f6s.com,https://www.f6s.com/,https://afrotools.com/,A,qualified,yes,approve account creation and company profile,"Homepage inspected; free member signup and public company-profile ecosystem confirmed",2026-07-12,"Create an accurate AfroTools company profile only; do not apply to funding programs without a separate fit review"
9,Crunchbase,company database,crunchbase.com,https://www.crunchbase.com/organization/afrotools,https://afrotools.com/,A,challenge gated,yes,solve session verification and verify whether profile exists,"Homepage inspected; obvious organization URL triggered a session-verification barrier before profile existence could be confirmed",2026-07-12,"Do not bypass the verification barrier or create a duplicate organization"
10,VC4A,African venture directory,vc4a.com,https://vc4a.com/login/,https://afrotools.com/,A,qualified,yes,create or sign in to a real founder account,"Official entrepreneur page inspected; it explicitly offers startup listings and links to the public Ventures Directory used by more than 29000 founders",2026-07-12,"Best Africa-first directory prospect; create one accurate AfroTools venture profile and avoid funding applications until eligibility is reviewed"
11,Startup.Africa,African startup publisher,startup.africa,https://www.startup.africa/,https://afrotools.com/,A,editorial prospect,unknown,identify an editorial contact route,"Active 2026 African startup publication inspected; current startup, AI, funding, and ecosystem coverage confirmed, but no open submission route was visible",2026-07-12,"Pitch a sourced AfroTools story or dataset only after identifying the right editor; do not treat newsletter signup as a listing route"
12,Startup Map Africa,African startup directory,startupmapafrica.com,https://startupmapafrica.com/startups/afrotools/claims/new,https://afrotools.com/,A,existing - claim and correct,yes,create a real founder account and claim the existing profile,"Public AfroTools profile verified at https://startupmapafrica.com/startups/afrotools with a direct homepage link; the link rel contains only noopener noreferrer; profile metadata currently says Other, Seed, founded 2026",2026-07-12,"Do not submit a duplicate; claim the existing record and correct country/area, sector, stage, founded year, description, and social links"
13,CareerBuddy Africa Startup Directory,African startup directory,startups.thecareerbuddy.com,https://startups.thecareerbuddy.com/add-company,https://afrotools.com/,A,submission attempted - platform error,no,retry after platform repair,"Reviewed company form was completed with truthful AfroTools details and submitted twice; both attempts returned the site's own 'Error submitting company' notification, including a retry without the optional logo URL",2026-07-12,"Not submitted and not counted; retry only after the directory fixes its submission backend"
