id,slug,title,provider,destination_countries,study_levels,fields,funding_type,current_status,deadline_date,deadline_text,deadline_classification,display_label,safe_display_explanation,manual_deadline_verification_needed,classification_evidence,deadline_confidence,source_confidence,proof_level,confidence_mode,trust_level,source_key,official_url_quality,official_url_domain,official_url,source_url,last_verified_at,last_seen_at,days_left
4c0b2202-69e5-4100-863e-9678265319a4,joint-japan-world-bank-graduate-scholarship-program-world-bank,Joint Japan/World Bank Graduate Scholarship Program,World Bank,global,masters,development,full,open,2026-05-29,"Application Window #2: March 30 to May 29, 2026",real_deadline_available,Real deadline available,"Display the stored deadline date with days left, and still link users to the official provider page before applying.",no,deadline_date is populated in production data,high,high - live official page with dated deadline,official_page,live,official,world-bank-jjwbgsp,verified_official_page,worldbank.org,https://www.worldbank.org/en/programs/scholarships/jj-wbgsp,https://www.worldbank.org/en/programs/scholarships/jj-wbgsp,2026-05-16T03:06:28.449Z,2026-05-16T03:06:28.449Z,9
b42c2877-d1a5-4f7f-8f75-db725d399a67,aalto-scholarships,Aalto Scholarships and Tuition Fees,Aalto University,eu,undergrad|masters|phd,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,aalto.fi,https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
c67e2808-ba2c-4b8d-beb7-09285071c31a,aauw-international-fellowships,AAUW International Fellowships,AAUW,us,masters|phd|postdoc,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,aauw.org,https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
e86e2c15-3177-4c91-a484-6e7e7c11483f,adb-japan-scholarship-program,ADB Japan Scholarship Program,Asian Development Bank,global,masters,agric|development|any,full,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,adb.org,https://www.adb.org/work-with-us/careers/japan-scholarship-program,https://www.adb.org/work-with-us/careers/japan-scholarship-program,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
52879903-eca9-4707-b3c1-61217ad629d7,afdb-jads,AfDB Japan Africa Dream Scholarship,African Development Bank,global,masters,agric|development|any,full,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The official link or source needs manual verification before any deadline or open status is shown.,yes,official_link_http_blocked,low,low - official URL needs manual HTTP review,official_link_http_blocked,curated,curated,afrotools-curated-backup,official_link_http_blocked,afdb.org,https://www.afdb.org/en/about-us/careers/japan-africa-dream-scholarship-jads-program,https://www.afdb.org/en/about-us/careers/japan-africa-dream-scholarship-jads-program,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
1ba60627-d9d0-4098-9148-6f2363842012,aga-khan-international-scholarship,Aga Khan Foundation International Scholarship Programme,Aga Khan Foundation,global,masters|phd,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,the.akdn,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
7999b82c-ddb9-4237-8860-8bcca1cf02f8,zonta-amelia-earhart-fellowship,Amelia Earhart Fellowship,Zonta International,global,phd,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,zonta.org,https://www.zonta.org/Web/Programs/Education/Amelia_Earhart_Fellowship,https://www.zonta.org/Web/Programs/Education/Amelia_Earhart_Fellowship,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
5462b92d-ebce-4c0c-a1b0-2274b5b6f476,anu-chancellors-international-scholarship,ANU Chancellor's International Scholarship,Australian National University,australia,undergrad|masters,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,anu.edu.au,https://www.anu.edu.au/study/scholarships/find-a-scholarship/anu-chancellors-international-scholarship,https://www.anu.edu.au/study/scholarships/find-a-scholarship/anu-chancellors-international-scholarship,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
e401a9ab-e573-4756-baf4-90014383480a,australia-awards-africa,Australia Awards Africa,Australian Government,australia,masters,law|any,full,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,dfat.gov.au,https://www.dfat.gov.au/people-to-people/australia-awards,https://www.dfat.gov.au/people-to-people/australia-awards,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
e378a46c-6471-41f6-ad07-ae8bd3f4c2bd,brunel-scholarships,Brunel University Scholarships,Brunel University London,uk,undergrad|masters|phd,any,partial,unclear,,Check official page,source_needs_manual_review,Source needs manual review,Display Deadline unclear. The current data does not contain a reliable dated deadline or clear application status.,yes,deadline_text=Check official page,low,"medium - recent official link check, deadline not parsed",official_link,curated,curated,afrotools-curated-backup,valid_https_official_link,brunel.ac.uk,https://www.brunel.ac.uk/scholarships,https://www.brunel.ac.uk/scholarships,2026-05-19T19:23:32.732Z,2026-05-19T19:23:32.732Z,
