slug,recipe,country,category,role,label,filename,route_path,prompt
couscous-royal-dz,Couscous Royal,Algeria,main,hero,Finished dish hero,couscous-royal-dz.webp,/tools/afrokitchen/recipes/couscous-royal-dz/,"Finished Couscous Royal, main from Algeria, plated finished dish in warm natural light, inspectable texture, no text, no logos."
couscous-royal-dz,Couscous Royal,Algeria,main,serving,Serving detail,couscous-royal-dz-2.webp,/tools/afrokitchen/recipes/couscous-royal-dz/,"Finished Couscous Royal, main from Algeria, closer serving angle showing texture, garnish, side dish, and sauce."
couscous-royal-dz,Couscous Royal,Algeria,main,ingredients,Ingredient setup,couscous-royal-dz-3.webp,/tools/afrokitchen/recipes/couscous-royal-dz/,"Finished Couscous Royal, main from Algeria, key ingredients arranged naturally before cooking, bright kitchen light."
couscous-royal-dz,Couscous Royal,Algeria,main,process,Cooking process,couscous-royal-dz-4.webp,/tools/afrokitchen/recipes/couscous-royal-dz/,"Finished Couscous Royal, main from Algeria, mid-cooking pot or pan moment that explains the method."
couscous-royal-dz,Couscous Royal,Algeria,main,table,Table context,couscous-royal-dz-5.webp,/tools/afrokitchen/recipes/couscous-royal-dz/,"Finished Couscous Royal, main from Algeria, dish on table with realistic accompaniments and serving utensils."
amiwo-bj,Amiwo,Benin,main,hero,Finished dish hero,amiwo-bj.webp,/tools/afrokitchen/recipes/amiwo-bj/,"Finished Amiwo, main from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
amiwo-bj,Amiwo,Benin,main,serving,Serving detail,amiwo-bj-2.webp,/tools/afrokitchen/recipes/amiwo-bj/,"Finished Amiwo, main from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
amiwo-bj,Amiwo,Benin,main,ingredients,Ingredient setup,amiwo-bj-3.webp,/tools/afrokitchen/recipes/amiwo-bj/,"Finished Amiwo, main from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
amiwo-bj,Amiwo,Benin,main,process,Cooking process,amiwo-bj-4.webp,/tools/afrokitchen/recipes/amiwo-bj/,"Finished Amiwo, main from Benin, mid-cooking pot or pan moment that explains the method."
amiwo-bj,Amiwo,Benin,main,table,Table context,amiwo-bj-5.webp,/tools/afrokitchen/recipes/amiwo-bj/,"Finished Amiwo, main from Benin, dish on table with realistic accompaniments and serving utensils."
kuli-kuli-bj,Kuli-Kuli,Benin,snack,hero,Finished dish hero,kuli-kuli-bj.webp,/tools/afrokitchen/recipes/kuli-kuli-bj/,"Finished Kuli-Kuli, snack from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
kuli-kuli-bj,Kuli-Kuli,Benin,snack,serving,Serving detail,kuli-kuli-bj-2.webp,/tools/afrokitchen/recipes/kuli-kuli-bj/,"Finished Kuli-Kuli, snack from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
kuli-kuli-bj,Kuli-Kuli,Benin,snack,ingredients,Ingredient setup,kuli-kuli-bj-3.webp,/tools/afrokitchen/recipes/kuli-kuli-bj/,"Finished Kuli-Kuli, snack from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
kuli-kuli-bj,Kuli-Kuli,Benin,snack,process,Cooking process,kuli-kuli-bj-4.webp,/tools/afrokitchen/recipes/kuli-kuli-bj/,"Finished Kuli-Kuli, snack from Benin, mid-cooking pot or pan moment that explains the method."
kuli-kuli-bj,Kuli-Kuli,Benin,snack,table,Table context,kuli-kuli-bj-5.webp,/tools/afrokitchen/recipes/kuli-kuli-bj/,"Finished Kuli-Kuli, snack from Benin, dish on table with realistic accompaniments and serving utensils."
