original_batch_index,name,slug,country,category,reference_url,backup_reference_url,save_folder,filename,dimensions,format,prompt,notes
274,Samy Samos,samy-samos,DZ,"Comedy, Entertainment",https://instagram.com/samy_samos,https://youtube.com/@SamySamos,/assets/img/afrostream/creators/,samy-samos-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/samy_samos. Backup reference: https://youtube.com/@SamySamos. Create a close AfroStream cartoon avatar for Samy Samos, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: DZ; Comedy, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
275,Cobra Ridouan,cobra-ridouan,DZ,"Comedy, Entertainment",https://www.google.com/search?tbm=isch&q=Cobra%20Ridouan%20DZ%20official%20profile%20portrait,,/assets/img/afrostream/creators/,cobra-ridouan-avatar.webp,400x400,WebP,"Check reference first: https://www.google.com/search?tbm=isch&q=Cobra%20Ridouan%20DZ%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for Cobra Ridouan, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: DZ; Comedy, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
276,Rophnan,rophnan,ET,"Music, Entertainment",https://instagram.com/rophnan,https://youtube.com/@Rophnan,/assets/img/afrostream/creators/,rophnan-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/rophnan. Backup reference: https://youtube.com/@Rophnan. Create a close AfroStream cartoon avatar for Rophnan, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: ET; Music, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
277,Mosty Le Vrai,mosty-le-vrai,CI,"Comedy, Entertainment",https://instagram.com/mostylevrai,https://tiktok.com/@mostylevrai,/assets/img/afrostream/creators/,mosty-le-vrai-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/mostylevrai. Backup reference: https://tiktok.com/@mostylevrai. Create a close AfroStream cartoon avatar for Mosty Le Vrai, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CI; Comedy, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
278,Emma Lohoues,emma-lohoues,CI,"Lifestyle, Entertainment, Beauty",https://instagram.com/emmalohoues,https://youtube.com/@Emmalohouesofficiel-UDM,/assets/img/afrostream/creators/,emma-lohoues-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/emmalohoues. Backup reference: https://youtube.com/@Emmalohouesofficiel-UDM. Create a close AfroStream cartoon avatar for Emma Lohoues, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: CI; Lifestyle, Entertainment, Beauty; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
279,Spice Diana,spice-diana,UG,"Music, Entertainment",https://instagram.com/spice_diana,https://youtube.com/@SpiceDiana,/assets/img/afrostream/creators/,spice-diana-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/spice_diana. Backup reference: https://youtube.com/@SpiceDiana. Create a close AfroStream cartoon avatar for Spice Diana, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Music, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
280,Gravity Omutujju,gravity-omutujju,UG,"Music, Entertainment",https://instagram.com/gravityomutujju,https://youtube.com/@GravityOfficial,/assets/img/afrostream/creators/,gravity-omutujju-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/gravityomutujju. Backup reference: https://youtube.com/@GravityOfficial. Create a close AfroStream cartoon avatar for Gravity Omutujju, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Music, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
281,The Hostel UG,the-hostel-ug,UG,"Comedy, Entertainment",https://instagram.com/thehostelug,https://www.google.com/search?tbm=isch&q=The%20Hostel%20UG%20UG%20official%20profile%20portrait,/assets/img/afrostream/creators/,the-hostel-ug-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/thehostelug. Backup reference: https://www.google.com/search?tbm=isch&q=The%20Hostel%20UG%20UG%20official%20profile%20portrait. Create a close AfroStream cartoon avatar for The Hostel UG, profile badge or group/channel caricature. Use the online reference to capture recognizable public-profile cues: logo colors, channel vibe, group silhouette, recurring outfit/color cues, and profile composition. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Comedy, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
282,Jose Chameleone,jose-chameleone,UG,"Music, Entertainment",https://instagram.com/josechameleone,https://youtube.com/@Chameleone,/assets/img/afrostream/creators/,jose-chameleone-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/josechameleone. Backup reference: https://youtube.com/@Chameleone. Create a close AfroStream cartoon avatar for Jose Chameleone, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Music, Entertainment; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
283,Flavia Tumusiime,flavia-tumusiime,UG,"Lifestyle, Entertainment, Media",https://instagram.com/flaviatumusiime,https://youtube.com/@FlaviaTumusiime,/assets/img/afrostream/creators/,flavia-tumusiime-avatar.webp,400x400,WebP,"Check reference first: https://instagram.com/flaviatumusiime. Backup reference: https://youtube.com/@FlaviaTumusiime. Create a close AfroStream cartoon avatar for Flavia Tumusiime, single-person caricature portrait. Use the online reference to capture recognizable public-profile cues: face shape, hairstyle, facial hair, glasses, skin tone, signature outfit colors, posture, and profile-photo vibe. Keep it a hand-drawn doodle/sketch avatar with soft pastel fills and clean black outline, not photorealistic and not a traced copy of one photo. Context: UG; Lifestyle, Entertainment, Media; profile reference. Centered 400x400 head-and-shoulders or badge-safe crop, expressive, no readable text, no platform UI, no exact logos.","Retry pack for closer AfroStream avatars. Open the reference URL first, then generate a close doodle/sketch caricature avatar. Do not use platform screenshots or exact logos."
