file,line,phrase,surface,context
".agents/skills/business-growth-skills/customer-success-manager/assets/executive_business_review_template.md","31","solution","source","1. **[Priority 1]** -- [How our solution supports this]"
".agents/skills/business-growth-skills/customer-success-manager/assets/executive_business_review_template.md","32","solution","source","2. **[Priority 2]** -- [How our solution supports this]"
".agents/skills/business-growth-skills/customer-success-manager/assets/executive_business_review_template.md","33","solution","source","3. **[Priority 3]** -- [How our solution supports this]"
".agents/skills/business-growth-skills/revenue-operations/references/gtm-efficiency-benchmarks.md","158","leverage","source","- Leverage customer referrals and case studies"
".agents/skills/business-growth-skills/revenue-operations/references/pipeline-management-framework.md","18","solution","source","| S3 | Proposal | Solution presented, pricing delivered, champion confirmed | 40% | 7-14 days |"
".agents/skills/business-growth-skills/revenue-operations/references/pipeline-management-framework.md","40","solution","source","- Solution demo completed and well-received"
".agents/skills/business-growth-skills/revenue-operations/references/revops-metrics-guide.md","285","leverage","source","4. **NDR and LTV** -- NDR directly impacts LTV. Improving NDR is the highest-leverage way to improve LTV:CAC."
".agents/skills/business-growth-skills/sales-engineer/assets/demo_script_template.md","183","solution","source","he implementation timeline seems long"" | ""The timeline I shared is for the full solution. We can phase the rollout to deliver value sooner. Phase 1 would give you [core capability] within "
".agents/skills/business-growth-skills/sales-engineer/assets/expected_output.json","112","solution","source","""mitigation"": ""Share roadmap timeline; offer guided query builder as interim solution"""
".agents/skills/business-growth-skills/sales-engineer/assets/expected_output.json","275","solution","source","""mitigation"": ""Share roadmap timeline; offer guided query builder as interim solution"""
".agents/skills/business-growth-skills/sales-engineer/assets/poc_scorecard_template.md","106","ecosystem","source","| Community and ecosystem | | |"
".agents/skills/business-growth-skills/sales-engineer/assets/sample_rfp_data.json","76","solution","source","""mitigation"": ""Share roadmap timeline; offer guided query builder as interim solution"""
".agents/skills/business-growth-skills/sales-engineer/assets/technical_proposal_template.md","20","solution","source","mmarizing the customer's business challenges and strategic objectives that this solution addresses. Focus on business outcomes, not technical features.]"
".agents/skills/business-growth-skills/sales-engineer/assets/technical_proposal_template.md","22","solution","source","### Proposed Solution"
".agents/skills/business-growth-skills/sales-engineer/assets/technical_proposal_template.md","24","solution","source","[1-2 paragraphs describing the solution at a high level, emphasizing how it addresses the specific challenges identified above.]"
".agents/skills/business-growth-skills/sales-engineer/assets/technical_proposal_template.md","63","solution","source","## 3. Solution Architecture"
".agents/skills/business-growth-skills/sales-engineer/assets/technical_proposal_template.md","201","solution","source","| Metric | Current State | With Solution | Improvement |"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","22","ecosystem","source","- Partner ecosystem announcements"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","42","ecosystem","source","| Integration & API | 15-25% | Ecosystem connectivity |"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","69","ecosystem","source","| Ecosystem Differentiator | Partner or integration advantage | 200+ native integrations |"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","83","solution","source","5. **Partner solution:** Identify an integration partner that fills the gap"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","213","leverage","source","| Negotiation | Leverage competitive urgency, offer migration assistance |"
".agents/skills/business-growth-skills/sales-engineer/references/competitive-positioning-framework.md","222","ecosystem","source","4. **Include non-obvious criteria:** Total cost of ownership, time-to-value, ecosystem breadth"
".agents/skills/business-growth-skills/sales-engineer/references/rfp-response-guide.md","17","solution","source","- Is the timeline realistic for our solution?"
".agents/skills/business-growth-skills/sales-engineer/references/rfp-response-guide.md","34","solution","source","**Solution Overview:**"
".agents/skills/business-growth-skills/sales-engineer/references/rfp-response-guide.md","52","solution","source","| Planned | 25% | On product roadmap | Provide timeline and interim solution |"
".agents/skills/business-growth-skills/sales-engineer/SKILL.md","36","solution","source","### Phase 2: Solution Design"
".agents/skills/business-growth-skills/sales-engineer/SKILL.md","38","solution","source","**Objective:** Design a solution architecture that addresses customer requirements."
".agents/skills/business-growth-skills/sales-engineer/SKILL.md","45","solution","source","- [ ] Create solution architecture diagrams"
".agents/skills/business-growth-skills/sales-engineer/SKILL.md","55","solution","source","**Output:** Solution architecture, competitive positioning, technical differentiation strategy."
".agents/skills/business-growth-skills/sales-engineer/SKILL.md","85","solution","source","**Objective:** Execute a structured proof-of-concept that validates the solution."
