vehicle_id,make,make_slug,model,model_slug,year,body_type,trim,engine_cc_min,engine_cc_max,fuel_types,transmissions,source_markets,mileage_band,condition_note,price_min_usd,price_median_usd,price_max_usd,confidence,last_updated,tags,catalog_status,launch_priority,price_source_type,price_source_name,price_source_url,price_source_count,price_notes
ford-escape-kuga-2005,Ford,ford,Escape / Kuga,escape-kuga,2005,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",6100,7800,10000,comparable_market_estimate,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-escape-kuga-2008,Ford,ford,Escape / Kuga,escape-kuga,2008,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",7200,9300,11900,comparable_market_estimate,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-escape-kuga-2011,Ford,ford,Escape / Kuga,escape-kuga,2011,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",8600,11000,14100,comparable_market_estimate,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-escape-kuga-2014,Ford,ford,Escape / Kuga,escape-kuga,2014,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",4200,9800,16500,online_market_sample,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,market_sample,DubiCars UAE used listings,https://www.dubicars.com/uae/used/ford/escape/2014,8,Planning estimate refreshed from online marketplace evidence. Not a customs assessed value.
ford-escape-kuga-2017,Ford,ford,Escape / Kuga,escape-kuga,2017,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",12200,15700,20000,comparable_market_estimate,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-escape-kuga-2020,Ford,ford,Escape / Kuga,escape-kuga,2020,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",11400,11500,42000,online_market_sample,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,market_sample,DubiCars UAE used listings,https://www.dubicars.com/uae/used/ford/escape/2020,3,Planning estimate refreshed from online marketplace evidence. Not a customs assessed value.
ford-escape-kuga-2023,Ford,ford,Escape / Kuga,escape-kuga,2023,suv,Comparable-market planning estimate,1800,3500,petrol|diesel,automatic,uk|south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",17000,22000,28000,comparable_market_estimate,2026-05-23,suv|family|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-everest-2005,Ford,ford,Everest,everest,2005,suv,Comparable-market planning estimate,1800,3500,diesel,automatic,south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",6100,7800,10000,comparable_market_estimate,2026-05-23,suv|work|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-everest-2009,Ford,ford,Everest,everest,2009,suv,Comparable-market planning estimate,1800,3500,diesel,automatic,south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",7700,9800,12600,comparable_market_estimate,2026-05-23,suv|work|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
ford-everest-2012,Ford,ford,Everest,everest,2012,suv,Comparable-market planning estimate,1800,3500,diesel,automatic,south-africa|uae|local-dealer,Used-market planning band; mileage varies,"Used planning estimate. Override with seller quote, invoice, or assessed value.",9100,11700,15000,comparable_market_estimate,2026-05-23,suv|work|import-duty-estimate|comparable-estimate,active,medium,comparable_market_estimate,AfroTools comparable vehicle estimate,/data/cars/master-vehicle-catalog.csv | /data/cars/verified-real-data-batch-1.json,,Planning estimate derived from comparable AfroTools catalog and verified sample bands. Not source-backed for this exact trim.
