route,locale,pageType,coverageState,sourceFile,englishEquivalent,title,description,h1,titleDuplicateCount,descriptionDuplicateCount,errorCount,reviewCount,signalCodes
/,en,page,native,index.html,/,AfroTools AI - Africa's Practical AI Hub and Free Tool Directory,"Ask AfroTools AI for African calculators, documents, data and next steps. Free tax, PDF, invoice, CV, solar, fuel, car, FX and country tools for 54 countries.",One question. The right African tool.,1,1,0,0,
/about/,en,page,native,about/index.html,/about/,About AfroTools | AfroTools,"AfroTools is Africa's #1 free tools platform — accurate tax calculators, PDF tools, health calculators and more for all 54 African nations. Built for Africa, by Africans.",Built for Africa. By Africans.,1,1,0,0,
/advertise/,en,page,native,advertise/index.html,/advertise/,Advertise on AfroTools | Sponsorship Pilots and Indicative Rates,"Review AfroTools sponsored tool, category, country, workflow, newsletter, and media pilot options with indicative rates and a direct enquiry form.",Sponsor a practical AfroTools workflow.,1,1,0,0,
/african/,en,page,native,african/index.html,/african/,Uniquely African Tools — Built for Africa | AfroTools,"Start connected African workflows for relocation, generator costs, mobile money, Ajo/Chama savings, market prices, culture, creative budgets, and family planning.",African workflows for everyday decisions.,1,1,0,0,
/afrowork/,en,page,native,afrowork/index.html,/afrowork/,AfroWork Suite — The African Employment Operating System | AfroTools,"AfroWork is the connected employment platform for Africa — payroll OS, compliance calendar, salary database, AI labour law advisor, document generator, and more. 54 countries.",The African Employment Operating System,1,1,0,1,TITLE_LONG
/afrowork/api/,en,page,native,afrowork/api/index.html,/afrowork/api/,AfroTools Payroll API — African Payroll Compliance as an API,"REST API for African payroll compliance. PAYE, pension, social security, minimum wage for all 54 African countries. 100 free calls/month. Get your API key.",African payroll compliance as an API.,1,1,0,0,
/afrowork/whatsapp/,en,page,native,afrowork/whatsapp/index.html,/afrowork/whatsapp/,AfroTools WhatsApp Bot — Payroll Calculations on WhatsApp | AfroTools,"Type PAYE Nigeria 450000 on WhatsApp and get your net pay, deductions, and pension in seconds. No app, no login, no data bundle. Free for all 54 African countries.",Payroll calculations. On WhatsApp. Free.,1,1,0,1,TITLE_LONG
/agriculture/,en,category,native,agriculture/index.html,/agriculture/,"Agriculture Tools for Africa | Browse by Crop, Livestock, Finance & Trade","Find African farm calculators for crop planning, livestock, farm finance, inputs, irrigation, trade, equipment, and agribusiness operations.","Plan crops, costs, livestock, and market moves — all in one place.",1,1,0,1,TITLE_LONG
/agriculture/all-tools/,en,category,native,agriculture/all-tools/index.html,/agriculture/all-tools/,All Agriculture Calculators for Africa | AfroTools,"Browse all 447 AfroTools Agriculture calculators by farm task and country, with direct links that work without search or filters.",Find every Agriculture calculator by task and country.,1,1,0,0,
/agriculture/cassava-processing/,en,category,native,agriculture/cassava-processing/index.html,/agriculture/cassava-processing/,Cassava Processing Profit Calculator — 15 African Countries | AfroTools,"Calculate profits from processing cassava into garri, fufu flour, HQCF, chips, or starch. Compare all processing pathways with local costs and prices. 15 African countries.",🏭 Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/angola,en,category,native,agriculture/cassava-processing/angola.html,/agriculture/cassava-processing/angola,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Angola | AfroTools","Calculate profits from processing cassava into Fufu Flour, HQCF, Cassava Chips in Angola. Compare all processing pathways with local costs, labor rates, and selling prices.",🇦🇴 Angola Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/benin,en,category,native,agriculture/cassava-processing/benin.html,/agriculture/cassava-processing/benin,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Benin | AfroTools","Calculate profits from processing cassava into Garri, HQCF, Fufu Flour in Benin. Compare all processing pathways with local costs, labor rates, and selling prices.",🇧🇯 Benin Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/cameroon,en,category,native,agriculture/cassava-processing/cameroon.html,/agriculture/cassava-processing/cameroon,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Cameroon | AfroTools","Calculate profits from processing cassava into Garri, HQCF, Fufu Flour in Cameroon. Compare all processing pathways with local costs, labor rates, and selling prices.",🇨🇲 Cameroon Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/cote-d-ivoire,en,category,native,agriculture/cassava-processing/cote-d-ivoire.html,/agriculture/cassava-processing/cote-d-ivoire,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Côte d'Ivoire | AfroTools","Calculate profits from processing cassava into Garri, HQCF, Fufu Flour in Côte d'Ivoire. Compare all processing pathways with local costs, labor rates, and selling prices.",🇨🇮 Côte d'Ivoire Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/dr-congo,en,category,native,agriculture/cassava-processing/dr-congo.html,/agriculture/cassava-processing/dr-congo,"Cassava Processing Profit Calculator — Garri, Flour, Starch | DR Congo | AfroTools","Calculate profits from processing cassava into Fufu Flour, HQCF, Cassava Chips in DR Congo. Compare all processing pathways with local costs, labor rates, and selling prices.",🇨🇩 DR Congo Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/ghana,en,category,native,agriculture/cassava-processing/ghana.html,/agriculture/cassava-processing/ghana,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Ghana | AfroTools","Calculate profits from processing cassava into Garri, HQCF, Cassava Chips in Ghana. Compare all processing pathways with local costs, labor rates, and selling prices.",🇬🇭 Ghana Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/guinea,en,category,native,agriculture/cassava-processing/guinea.html,/agriculture/cassava-processing/guinea,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Guinea | AfroTools","Calculate profits from processing cassava into Garri, Fufu Flour, HQCF in Guinea. Compare all processing pathways with local costs, labor rates, and selling prices.",🇬🇳 Guinea Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/madagascar,en,category,native,agriculture/cassava-processing/madagascar.html,/agriculture/cassava-processing/madagascar,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Madagascar | AfroTools","Calculate profits from processing cassava into Cassava Chips, HQCF, Fufu Flour in Madagascar. Compare all processing pathways with local costs, labor rates, and selling prices.",🇲🇬 Madagascar Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/malawi,en,category,native,agriculture/cassava-processing/malawi.html,/agriculture/cassava-processing/malawi,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Malawi | AfroTools","Calculate profits from processing cassava into HQCF, Cassava Chips, Fufu Flour in Malawi. Compare all processing pathways with local costs, labor rates, and selling prices.",🇲🇼 Malawi Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/mozambique,en,category,native,agriculture/cassava-processing/mozambique.html,/agriculture/cassava-processing/mozambique,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Mozambique | AfroTools","Calculate profits from processing cassava into Cassava Chips, Fufu Flour, HQCF in Mozambique. Compare all processing pathways with local costs, labor rates, and selling prices.",🇲🇿 Mozambique Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/nigeria,en,category,native,agriculture/cassava-processing/nigeria.html,/agriculture/cassava-processing/nigeria,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Nigeria | AfroTools","Calculate profits from processing cassava into Garri, Fufu Flour, HQCF in Nigeria. Compare all processing pathways with local costs, labor rates, and selling prices.",🇳🇬 Nigeria Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/sierra-leone,en,category,native,agriculture/cassava-processing/sierra-leone.html,/agriculture/cassava-processing/sierra-leone,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Sierra Leone | AfroTools","Calculate profits from processing cassava into Garri, Fufu Flour, HQCF in Sierra Leone. Compare all processing pathways with local costs, labor rates, and selling prices.",🇸🇱 Sierra Leone Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/tanzania,en,category,native,agriculture/cassava-processing/tanzania.html,/agriculture/cassava-processing/tanzania,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Tanzania | AfroTools","Calculate profits from processing cassava into Cassava Chips, HQCF, Fufu Flour in Tanzania. Compare all processing pathways with local costs, labor rates, and selling prices.",🇹🇿 Tanzania Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/togo,en,category,native,agriculture/cassava-processing/togo.html,/agriculture/cassava-processing/togo,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Togo | AfroTools","Calculate profits from processing cassava into Garri, HQCF, Fufu Flour in Togo. Compare all processing pathways with local costs, labor rates, and selling prices.",🇹🇬 Togo Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cassava-processing/uganda,en,category,native,agriculture/cassava-processing/uganda.html,/agriculture/cassava-processing/uganda,"Cassava Processing Profit Calculator — Garri, Flour, Starch | Uganda | AfroTools","Calculate profits from processing cassava into HQCF, Cassava Chips, Fufu Flour in Uganda. Compare all processing pathways with local costs, labor rates, and selling prices.",🇺🇬 Uganda Cassava Processing Profit Calculator,1,1,0,1,TITLE_LONG
/agriculture/cocoa-tracker/,en,category,native,agriculture/cocoa-tracker/index.html,/agriculture/cocoa-tracker/,"Cocoa Yield & Export Price Tracker for Africa — Côte d'Ivoire, Ghana, Nigeria, Cameroon | AfroTools","Estimate cocoa farm yields, compare farm-gate vs export prices, and calculate quality premiums for Côte d'Ivoire, Ghana, Nigeria, and Cameroon.",African Cocoa Yield & Export Price Tracker,1,1,0,1,TITLE_LONG
/agriculture/coffee-calculator/,en,category,native,agriculture/coffee-calculator/index.html,/agriculture/coffee-calculator/,"Coffee Grade & Price Calculator for Africa — Ethiopia, Kenya, Tanzania, Uganda | AfroTools","Look up African coffee grades and estimate farm yield, export revenue, and quality improvements across eight producing markets.",African Coffee Grade & Price Calculator,1,1,0,1,TITLE_LONG
/agriculture/commodity-prices/,en,category,native,agriculture/commodity-prices/index.html,/agriculture/commodity-prices/,"African Commodity Price Tracker — Maize, Rice, Cocoa, Coffee Prices | AfroTools","Track current prices for maize, rice, sorghum, millet, cocoa, coffee and more across African markets. Compare farm-gate prices and calculate revenue.",African Agricultural Commodity Price Tracker,1,1,0,1,TITLE_LONG
/agriculture/cooperative-calculator/,en,category,native,agriculture/cooperative-calculator/index.html,/agriculture/cooperative-calculator/,Cooperative Dividend Calculator — SACCO & Farmer Coop Returns | AfroTools,"Estimate how an African agricultural cooperative or SACCO can distribute surplus using patronage, share-based, or hybrid methods.",Cooperative & SACCO Dividend Calculator,1,1,0,1,TITLE_LONG
/agriculture/crop-insurance/,en,category,native,agriculture/crop-insurance/index.html,/agriculture/crop-insurance/,Crop Insurance Premium Calculator — 15 African Countries | AfroTools,"Estimate crop or livestock insurance premiums, subsidies, and payout scenarios across 15 African countries and named programmes.",🛡️ Crop Insurance Premium Calculator,1,1,0,1,TITLE_LONG
/agriculture/crop-insurance/angola,en,category,native,agriculture/crop-insurance/angola.html,/agriculture/crop-insurance/angola,Crop Insurance Premium Calculator for Angola | AfroTools,"Calculate crop and livestock insurance premiums in Angola. See available programs, government subsidies, and payout scenarios for Cassava, Maize, Coffee, Common Bean.",🇦🇴 Angola Crop Insurance Calculator,1,1,0,0,
