vehicle_id,make,model,year,body_type,image_name,save_directory
audi-a4-2008,Audi,A4,2008,sedan,audi-a4-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2008/
audi-a4-2012,Audi,A4,2012,sedan,audi-a4-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2012/
audi-a4-2016,Audi,A4,2016,sedan,audi-a4-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2016/
audi-a4-2019,Audi,A4,2019,sedan,audi-a4-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2019/
audi-a4-2022,Audi,A4,2022,sedan,audi-a4-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2022/
audi-a4-2024,Audi,A4,2024,sedan,audi-a4-2024-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/a4/2024/
audi-q5-2009,Audi,Q5,2009,suv,audi-q5-2009-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/q5/2009/
audi-q5-2013,Audi,Q5,2013,suv,audi-q5-2013-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/q5/2013/
audi-q5-2017,Audi,Q5,2017,suv,audi-q5-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/q5/2017/
audi-q5-2020,Audi,Q5,2020,suv,audi-q5-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/q5/2020/
audi-q5-2023,Audi,Q5,2023,suv,audi-q5-2023-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/audi/q5/2023/
bmw-3-series-2008,BMW,3 Series,2008,sedan,bmw-3-series-2008-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2008/
bmw-3-series-2012,BMW,3 Series,2012,sedan,bmw-3-series-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/bmw/3-series/2012/
